Region,Participant_IMD,Contact_IMD,Participant_age_group,Contact_age_group,mean,lower,upper
South West,1,1,0-4,55-59,0.08493200352372178,0,0.28705369780744966
West Midlands,1,1,0-4,55-59,0.035977424244058906,0,0.09793382382055231
Yorkshire and the Humber,1,1,0-4,55-59,0.031199813767475295,0,0.125000004570209
East Midlands,1,1,0-4,60-64,0.042525997878437416,0,0.2253841622720604
East of England,1,1,0-4,60-64,0.021597596595942504,0,0.1250000033590455
Greater London,1,1,0-4,60-64,0.029558241586908243,0,0.13284901071491387
North East,1,1,0-4,60-64,0.034477537180643246,0,0.1428571439649975
North West,1,1,0-4,60-64,0.06588965464389455,0,0.17718403496637652
South East,1,1,0-4,60-64,0.05706521254440319,0,0.23308837265828755
South West,1,1,0-4,60-64,0.07643050012573953,0,0.3367326783240896
West Midlands,1,1,0-4,60-64,0.04860065585558752,0,0.15824423237683116
Yorkshire and the Humber,1,1,0-4,60-64,0.07493109831902715,0,0.25300251311518446
East Midlands,1,1,0-4,65-69,0.022313537741375105,0,0.166666669065953
East of England,1,1,0-4,65-69,0.05810444041993718,0,0.40041694123703747
Greater London,1,1,0-4,65-69,0.09054722909367507,0,0.3636367602924559
North East,1,1,0-4,65-69,0.043577904068014636,0,0.2144376749903082
North West,1,1,0-4,65-69,0.03691920746482453,0,0.10833772285560435
South East,1,1,0-4,65-69,0.03689564634135723,0,0.17426211607432582
South West,1,1,0-4,65-69,0.013594609661643402,0,0.166666669065953
West Midlands,1,1,0-4,65-69,0.10557960732820397,0,0.2826095092785405
Yorkshire and the Humber,1,1,0-4,65-69,0.014547853978813866,0,0.07603754367897472
East Midlands,1,1,0-4,70-74,0.013942705426644079,0,0.166666669065953
East of England,1,1,0-4,70-74,0.03196983833228216,0,0.3337537218710302
Greater London,1,1,0-4,70-74,0.1388467205582805,0,0.4619530605483843
North East,1,1,0-4,70-74,0.06935577886444713,0,0.3436369673243379
North West,1,1,0-4,70-74,0.0072296578597863224,0,0.03882696666502639
South East,1,1,0-4,70-74,0.008736488620540068,0,0.09396259495260528
South West,1,1,0-4,70-74,0.02103664722118519,0,0.200000530574731
West Midlands,1,1,0-4,70-74,0.02181413648135523,0,0.09378882562125347
Yorkshire and the Humber,1,1,0-4,70-74,0.012227095908673057,0,0.06873093464331549
East Midlands,1,1,0-4,75+,0.017134632775594086,0,0.24362217122907745
East of England,1,1,0-4,75+,0.01092491279159837,0,0.16308659380707993
Greater London,1,1,0-4,75+,0.010446810670648133,0,0.0833333348751395
North East,1,1,0-4,75+,0.0028363754887671404,0,0.055555555881500004
North West,1,1,0-4,75+,0.05394093944218123,0,0.2908616993473058
South East,1,1,0-4,75+,0.00858861460814905,0,0.10243779761051211
South West,1,1,0-4,75+,0.0184363751444772,0,0.20910491651835109
West Midlands,1,1,0-4,75+,0.005241771034018037,0,0.0454576565727519
Yorkshire and the Humber,1,1,0-4,75+,0.13037848715278572,0,0.4778767947343206
East Midlands,1,1,5-9,0-4,0.3201276983086546,0.0833347977728285,0.7189709070896466
East of England,1,1,5-9,0-4,0.26959373364626826,0,0.6644050021721413
Greater London,1,1,5-9,0-4,0.3689667980549074,0.18179456566532992,0.6202432583400374
North East,1,1,5-9,0-4,0.2844449658582506,0.09367897895857884,0.5382593720889419
North West,1,1,5-9,0-4,0.7152827194599195,0.42912146586216654,1.0469809794873066
South East,1,1,5-9,0-4,0.2958790885251452,0.0625000013540855,0.6515864197944564
South West,1,1,5-9,0-4,0.49377828474263685,0.07678571564744252,1.1416074242302547
West Midlands,1,1,5-9,0-4,0.8032583128045371,0.40858086856089654,1.328745699092978
Yorkshire and the Humber,1,1,5-9,0-4,0.30860523076496377,0.12067334446354276,0.560032929755316
East Midlands,1,1,5-9,5-9,1.6030711562884272,0.5383333515048345,3.833333485959579
East of England,1,1,5-9,5-9,1.0332737704739334,0,3.00000017629362
Greater London,1,1,5-9,5-9,2.213404570353489,1.0000005515875703,4.00073538096969
North East,1,1,5-9,5-9,2.6322757854677508,1.1764725338072632,5.766588290514604
North West,1,1,5-9,5-9,3.1808960310611862,1.8106797007236108,5.002439099694436
South East,1,1,5-9,5-9,1.934655037834409,0.44444525289702197,5.786071512052722
South West,1,1,5-9,5-9,3.9363066749917466,0.5000006410139254,11.335000011169974
West Midlands,1,1,5-9,5-9,2.265158675281968,1.1599072559133887,3.9525715470094647
Yorkshire and the Humber,1,1,5-9,5-9,2.200056186249217,0.6922420405410715,4.31039883880615
