Participant_IMD,Contact_IMD,Participant_age_group,Contact_age_group,mean,lower,upper
1,1,35-49,5-11,0.4015757790077858,0.3458703156263707,0.4623048899502702
1,1,35-49,50-69,0.6023507336415421,0.511317288416662,0.7203241400237399
1,1,35-49,70-79,0.1085774052834371,0.07874916868939054,0.14506944402919217
1,1,35-49,80+,0.030906547812554887,0.011429264114176378,0.05589306212428076
1,1,5-11,0-4,0.43214919017578934,0.3458695002309967,0.523810990815059
1,1,5-11,12-17,0.5388012607929002,0.42331461026761547,0.6647028578705727
1,1,5-11,18-25,0.4621850255607242,0.34615992819466773,0.592422651492133
1,1,5-11,26-34,0.5874469174440964,0.5022078697597382,0.6833468289399959
1,1,5-11,35-49,0.8260352422750826,0.7114499551494345,0.9509540956841995
1,1,5-11,5-11,2.6292914264266276,2.073273548954796,3.27380348597882
1,1,5-11,50-69,0.30884874106034443,0.23429281778306602,0.38350327121321887
1,1,5-11,70-79,0.05520007868124439,0.02964896060741733,0.08817761370549392
1,1,5-11,80+,0.014110050210129456,0.0016833604501389754,0.04940986820289575
1,1,50-69,0-4,0.10959958695859803,0.07067852514613551,0.15557893822891758
1,1,50-69,12-17,0.1680212937976231,0.1350705809149979,0.20388294289758263
1,1,50-69,18-25,0.2696849293597036,0.20823550085124556,0.34122900959663593
1,1,50-69,26-34,0.35057071132160744,0.2882935612936905,0.4174271760565576
1,1,50-69,35-49,0.5788483099620704,0.491366793006195,0.6922186490201154
1,1,50-69,5-11,0.14428796068439798,0.10945692303895366,0.17916506549184644
1,1,50-69,50-69,0.7689446872103158,0.6498902028976156,0.9216643786375944
1,1,50-69,70-79,0.1290108344662679,0.09776382508163917,0.16326043682438923
1,1,50-69,80+,0.07822845971275783,0.039861488638893355,0.12242308177929703
1,1,70-79,0-4,0.0633206821172147,0.0157894736843532,0.13713755096521005
1,1,70-79,12-17,0.10614492925606296,0.057915249041615366,0.16859631033836286
1,1,70-79,18-25,0.13648872226857184,0.061611334573397576,0.2460766769007223
1,1,70-79,26-34,0.1443753480206448,0.0854639283690872,0.21304374791397412
1,1,70-79,35-49,0.37566357191780514,0.2724617881426477,0.5019212365397141
1,1,70-79,5-11,0.09284708115146079,0.04986984651724202,0.14831562293113007
1,1,70-79,50-69,0.46448370530787,0.3519836446826749,0.5877941410122516
1,1,70-79,70-79,0.5170659192896591,0.35921799877336535,0.7381330480496875
1,1,70-79,80+,0.1747140072883386,0.055840229924058384,0.32693389499406544
1,1,80+,0-4,0.08040605815372126,0,0.3816698342915897
1,1,80+,12-17,0.054115401605901545,0.016635198243482103,0.11060168374012656
1,1,80+,18-25,0.20646958142519267,0.06752103590601737,0.3984381366024705
1,1,80+,26-34,0.1012950206810811,0.015954176399917707,0.25554215918227224
1,1,80+,35-49,0.20306721597609687,0.07509440583262121,0.3672376671375149
1,1,80+,5-11,0.04506992233536547,0.0053769422234744395,0.15782360015320768
1,1,80+,50-69,0.5348583372311649,0.27253827585564083,0.8370228200787537
1,1,80+,70-79,0.33178551126237027,0.10604175086995793,0.6208542244731863
1,1,80+,80+,0.26911081887125465,0,0.6666666743793468
1,2,0-4,0-4,0.48832476057305113,0.3231241037399417,0.6885767561408216
1,2,0-4,12-17,0.11408725238035748,0.07093387903842224,0.16954138933681617
1,2,0-4,18-25,0.2057449078117949,0.10522588244994725,0.3375628365941681
1,2,0-4,26-34,0.2314782127622942,0.14493895556474096,0.34805946323421233
1,2,0-4,35-49,0.257034242304056,0.15937493116657367,0.3802449996265605
1,2,0-4,5-11,0.2712162285571477,0.19112328004536408,0.37261429115225153
1,2,0-4,50-69,0.19968297697748313,0.10961442908440572,0.3156791025141531
1,2,0-4,70-79,0.04188576199484703,0.008629976161081444,0.09630999948633964
1,2,0-4,80+,0.044460064163243794,0,0.14414710679660445
1,2,12-17,0-4,0.07319704621059611,0.04518405758258001,0.10374538160849581
1,2,12-17,12-17,0.8496550469365262,0.6429117051689658,1.0860502478948924
1,2,12-17,18-25,0.16543360222737863,0.09681402405091476,0.260860774690314
1,2,12-17,26-34,0.16063103177460444,0.11402568308099496,0.22489476508589315
1,2,12-17,35-49,0.2638990975447238,0.18251320538998328,0.3624167611123945
1,2,12-17,5-11,0.2292264194687721,0.16391627719518354,0.30441065103456916
1,2,12-17,50-69,0.13746647879237683,0.08719076120217528,0.19462513864934727
1,2,12-17,70-79,0.04252392484476561,0.01612506686799398,0.08087194768551227
1,2,12-17,80+,0.007936821623855618,0,0.024127422352997932
1,2,18-25,0-4,0.07170804142864153,0.03813295141729044,0.11143754246073534
1,2,18-25,12-17,0.136425473350778,0.08666318208088307,0.19879006711681052
1,2,18-25,18-25,0.4837727108961161,0.3469772796204896,0.6266141492559014
1,2,18-25,26-34,0.32635682933886395,0.25004580965951306,0.41402279870292114
1,2,18-25,35-49,0.2817661065448321,0.21376897928736366,0.35878426909125305
1,2,18-25,5-11,0.11249192422857739,0.07483338640490686,0.1567413416939739
1,2,18-25,50-69,0.224400634820488,0.15479544618861926,0.31716687813217875
1,2,18-25,70-79,0.05438861977233619,0.021808180429291692,0.0992661957351724
1,2,18-25,80+,0.027074838593036988,0.005345482691028096,0.057307092201767905
1,2,26-34,0-4,0.1271676556551961,0.08128197165510131,0.18668822985844952
1,2,26-34,12-17,0.08247864745978542,0.0541126216221271,0.11192813773751281
1,2,26-34,18-25,0.2714833812752612,0.19758905745429822,0.3578648634154272
1,2,26-34,26-34,0.45060126754379975,0.37209380012130583,0.5376821541333475
1,2,26-34,35-49,0.3307113600910754,0.271977889386269,0.403044437494805
1,2,26-34,5-11,0.12042165386592082,0.08824963412302059,0.16040141518947593
1,2,26-34,50-69,0.256453225602286,0.1973242436725668,0.32595678054190097
1,2,26-34,70-79,0.035172390484443206,0.01663789188499676,0.05741572794409336
1,2,26-34,80+,0.010564766322438279,0.0015336250727003258,0.026783766276686296
1,2,35-49,0-4,0.06719243614318876,0.04176747933440133,0.09965248671843398
1,2,35-49,12-17,0.10277541589426502,0.0709022399133106,0.1402864526438776
1,2,35-49,18-25,0.17835681853875526,0.12763543431939442,0.23373956437647408
1,2,35-49,26-34,0.2543001097699353,0.207640918555404,0.30755077657473257
1,2,35-49,35-49,0.3670664062027455,0.3084483228063085,0.4352383687415495
1,2,35-49,5-11,0.109857259656261,0.07945574068538502,0.14401097397128693
1,2,35-49,50-69,0.2921765616197872,0.23477983862032692,0.36172628794383604
1,2,35-49,70-79,0.04840699955719602,0.026534983806272353,0.07701831032761804
1,2,35-49,80+,0.013382744437203666,0.0030670170587365135,0.028669424270734375
1,2,5-11,0-4,0.16300512186832702,0.11002599481138475,0.22307812702074514
1,2,5-11,12-17,0.23386737477982295,0.16477595394756078,0.3090505628255824
1,2,5-11,18-25,0.22277306134755254,0.13529618226195894,0.3495813825418391
1,2,5-11,26-34,0.2061704708374363,0.149847739878433,0.2715467707782248
1,2,5-11,35-49,0.21224616978522964,0.15233648438197106,0.2844635647820746
1,2,5-11,5-11,1.0469155913297352,0.8408691158783484,1.2615312080017473
1,2,5-11,50-69,0.12057780211467425,0.07881035496553232,0.17383540488880342
1,2,5-11,70-79,0.03512717158665572,0.01385554749632938,0.06286756391165794
1,2,5-11,80+,0.005292266569379364,0,0.01844195099528486
1,2,50-69,0-4,0.052559872825564326,0.027029235314103423,0.08221277404260553
1,2,50-69,12-17,0.04939129172307822,0.03016874884596674,0.07516969769099907
1,2,50-69,18-25,0.11279524752936942,0.0663140133862581,0.17488750171817474
1,2,50-69,26-34,0.18546427950478608,0.13559892669013146,0.24398867664200607
1,2,50-69,35-49,0.25926118416415356,0.2063024623257989,0.3191622059364173
1,2,50-69,5-11,0.04623324173837071,0.028631040461376402,0.06676471463850372
1,2,50-69,50-69,0.30826278204226165,0.24918163195500748,0.37603650666939564
1,2,50-69,70-79,0.05425459813828561,0.03159514790639317,0.0789253502427428
1,2,50-69,80+,0.044773142419288474,0.017004711756323683,0.08164636847159329
1,2,70-79,0-4,0.038116957562951616,0.005691971501957054,0.08195161732890897
1,2,70-79,12-17,0.05011887438570672,0.0158561611170022,0.09835495487704153
