Region,Participant_IMD,Contact_IMD,Participant_age_group,Contact_age_group,mean,lower,upper
East Midlands,1,2,0-4,70-79,0.02360323571917831,0,0.166666669065953
East Midlands,1,2,0-4,80+,0.032678175928538514,0,0.3963337874824496
East Midlands,1,2,12-17,0-4,0.10131819051121944,0,0.306369912653504
East Midlands,1,2,12-17,12-17,1.9501429450691858,0.37966448953256704,5.017614140827812
East Midlands,1,2,12-17,18-25,0.3834011914247394,0.05548245624540698,1.0089673376179613
East Midlands,1,2,12-17,26-34,0.15069735249897348,0,0.3854352040248711
East Midlands,1,2,12-17,35-49,0.2932592165170869,0.045359848808336364,0.7679093745948321
East Midlands,1,2,12-17,5-11,0.4455560530321863,0.048932316633666914,1.1429654795884696
East Midlands,1,2,12-17,50-69,0.1577977683596918,0,0.37443659451667133
East Midlands,1,2,12-17,70-79,0.01739897174578619,0,0.0909090911127855
East Midlands,1,2,12-17,80+,0.013223014954742731,0,0.1446089078750685
East Midlands,1,2,18-25,0-4,0.06915599390896847,0,0.23082264025493496
East Midlands,1,2,18-25,12-17,0.13449132805200298,0,0.33491288073187775
East Midlands,1,2,18-25,18-25,0.9823405735874025,0.2165005844943438,2.4573858779880022
East Midlands,1,2,18-25,26-34,0.35203364662257486,0.08647424459500198,0.7527539957826054
East Midlands,1,2,18-25,35-49,0.3111958927792617,0.07690556052567855,0.7210313429971694
East Midlands,1,2,18-25,5-11,0.11533213713228599,0,0.30221580588866975
East Midlands,1,2,18-25,50-69,0.22794540522539056,0.021736388119524212,0.9357008260346765
East Midlands,1,2,18-25,70-79,0.0602542716437419,0,0.40141497471291154
East Midlands,1,2,18-25,80+,0.0224635354571914,0,0.11544249170362031
East Midlands,1,2,26-34,0-4,0.07155183034622085,0,0.24618545184838359
East Midlands,1,2,26-34,12-17,0.14927928363215792,0.022167269586547984,0.3514366206810611
East Midlands,1,2,26-34,18-25,0.4418042963075752,0.076330549094843,1.2093606888508264
East Midlands,1,2,26-34,26-34,0.3571290985582377,0.12263617364774716,0.7359708020973774
East Midlands,1,2,26-34,35-49,0.28536981498322933,0.10452327280216467,0.5607040804221443
East Midlands,1,2,26-34,5-11,0.1431464732607858,0.018915750397568487,0.35569054106663245
