Participant_IMD,Contact_IMD,Participant_age_group,Contact_age_group,mean,lower,upper
1,1,0-4,0-4,1.356823952736957,0.9642174358474853,1.7958059321261757
1,1,0-4,5-11,0.5651544355659668,0.44580459574328396,0.694132967459561
1,1,0-4,12-17,0.2522946692342678,0.1826033197079194,0.33211788241666834
1,1,0-4,18-25,0.3550979989838128,0.24925969444039495,0.4872124560268454
1,1,0-4,26-34,0.7457438572644312,0.5877637227647385,0.9354683869434786
1,1,0-4,35-49,0.6153540646681979,0.46532607186689684,0.8155116627710869
1,1,0-4,50-69,0.3391631160326305,0.20792761615658342,0.5054443253823397
1,1,0-4,70-79,0.06038418737833956,0.014184662024418305,0.13219880259398287
1,1,0-4,80+,0.046245865390179525,0,0.18318371583758772
1,1,5-11,0-4,0.3714376902647305,0.29299713305171293,0.456206533903578
1,1,5-11,5-11,2.7342564284463418,2.129195780840097,3.4222218001314073
1,1,5-11,12-17,0.4275958883075693,0.33791895393470467,0.5275139858845623
1,1,5-11,18-25,0.4121259401456825,0.30046146349969366,0.545216731484231
1,1,5-11,26-34,0.5474441033205908,0.4656429727664304,0.6403159365475577
1,1,5-11,35-49,0.7855498711921467,0.6762223421879353,0.9092855356054791
1,1,5-11,50-69,0.2627055587034118,0.19852887810116998,0.3356463377250013
1,1,5-11,70-79,0.0751052189688121,0.04288691505783581,0.11496937384134337
1,1,5-11,80+,0.019278456085844196,0.003495596099418206,0.051523682453817714
1,1,12-17,0-4,0.18949815039504542,0.13715308153623854,0.249453246959566
1,1,12-17,5-11,0.4886654022819929,0.3861807516830829,0.6028538654614887
1,1,12-17,12-17,1.9753675783007705,1.3531214585397615,2.689007524139209
1,1,12-17,18-25,0.4043714754981123,0.30493689428018295,0.5257255111416232
1,1,12-17,26-34,0.36623192401013743,0.29831089452026244,0.44626019627305835
1,1,12-17,35-49,0.8298677425520129,0.7050112274482738,0.9648239871202242
1,1,12-17,50-69,0.38563014689479314,0.3053728760427983,0.48237857177782123
1,1,12-17,70-79,0.06218950310407949,0.03329528727617768,0.10133969198052577
1,1,12-17,80+,0.028209577053504263,0.01097933958735009,0.056647960815114536
1,1,18-25,0-4,0.20547114303498978,0.14422969004552152,0.28191682444621174
1,1,18-25,5-11,0.3628388093812243,0.2645285556221767,0.4800129534106287
1,1,18-25,12-17,0.3115202076034179,0.23491766944018178,0.40500908272897207
1,1,18-25,18-25,1.025989932426688,0.796733341530424,1.3266095156289996
1,1,18-25,26-34,0.5964982061615283,0.4787293869881979,0.7126031237623129
1,1,18-25,35-49,0.6094714386219797,0.5034820158943838,0.73578995979133055
1,1,18-25,50-69,0.4736125486167581,0.36351433137263756,0.5929013851750405
1,1,18-25,70-79,0.06995463571993617,0.030739122193301688,0.13410548726246885
1,1,18-25,80+,0.05406843928178452,0.014844514281860507,0.1069678294639088
1,1,26-34,0-4,0.34647441169358506,0.27307645658224217,0.43462089009103483
1,1,26-34,5-11,0.38699239799352786,0.3291665569994972,0.45264420286009993
1,1,26-34,12-17,0.22653785228111364,0.18452435444925191,0.2760404535882256
1,1,26-34,18-25,0.47894761100538796,0.38438723511262635,0.572171986764558
1,1,26-34,26-34,0.9954029780535503,0.840762692070223,1.1677326928331435
1,1,26-34,35-49,0.6800155399121685,0.574950704868895,0.796458088051886
1,1,26-34,50-69,0.49473569982935345,0.4044457187028346,0.5960511613799111
1,1,26-34,70-79,0.05905492614964686,0.036464813149419024,0.08717058925869572
1,1,26-34,80+,0.022395358399992623,0.00318471337579618,0.056631749142963365
1,1,35-49,0-4,0.196613274908605,0.14867746577645338,0.2605661162408047
1,1,35-49,5-11,0.3818938773176456,0.32874446506503624,0.44204778272605744
1,1,35-49,12-17,0.3530203539876987,0.2999072024582189,0.4104298649102592
1,1,35-49,18-25,0.3365414099386868,0.27801556688362516,0.406292690346218
1,1,35-49,26-34,0.46765450210599213,0.39540020755361105,0.5477333807170105
1,1,35-49,35-49,0.9132125713328562,0.7652790800838767,1.0844041919944194
1,1,35-49,50-69,0.5702676442790837,0.47737230537418573,0.6805607306569879
1,1,35-49,70-79,0.10185789484087107,0.0725683811044891,0.1365517576058103
1,1,35-49,80+,0.033456708735089255,0.013154599028114073,0.061816747875546293
1,1,50-69,0-4,0.10413859310783007,0.06384329070950119,0.15519453163235197
1,1,50-69,5-11,0.12273078787899142,0.09274872502259086,0.15680726240054416
1,1,50-69,12-17,0.15764389848210236,0.1248350811203877,0.19719422667447875
1,1,50-69,18-25,0.2513180482593542,0.19289546390123427,0.3146175483898199
1,1,50-69,26-34,0.32696017574015934,0.26728947053961516,0.39391738364973955
1,1,50-69,35-49,0.5480170334007426,0.4587462698318651,0.6540067219404817
1,1,50-69,50-69,0.7392274145395752,0.6157895460003011,0.8925390129184114
1,1,50-69,70-79,0.12152560475310212,0.09247246331908937,0.15512049569176004
1,1,50-69,80+,0.0754261615199175,0.041721080417882826,0.11778434942080593
1,1,70-79,0-4,0.06675297322893108,0.015680733739857896,0.14614195393839785
1,1,70-79,5-11,0.12632772501581385,0.07213621751708925,0.1933796298483682
1,1,70-79,12-17,0.09153086653605419,0.04900419433895574,0.14915233855383353
1,1,70-79,18-25,0.1336476342762713,0.05872678656081132,0.2562071967303206
1,1,70-79,26-34,0.14051478965351114,0.08676406666670332,0.2074129596338763
1,1,70-79,35-49,0.35241494769618353,0.25107707430326204,0.4724511594280857
1,1,70-79,50-69,0.4375342847678388,0.33293290892267857,0.5584875325098463
1,1,70-79,70-79,0.5064280939381367,0.3411647641693658,0.7190749882808025
1,1,70-79,80+,0.17149395148294563,0.0589801553649424,0.3143799309687104
1,1,80+,0-4,0.09708452069205317,0,0.38455985417580774
1,1,80+,5-11,0.06157869784977753,0.01116553395419417,0.16457548570298755
1,1,80+,12-17,0.07884547137027072,0.0306871387492623,0.15833045508484497
1,1,80+,18-25,0.19616354520668214,0.05385678941507766,0.3880857100636398
1,1,80+,26-34,0.10119373268494772,0.01439017086811177,0.25589133167236744
1,1,80+,35-49,0.2198226971113832,0.08643048127283465,0.4061584285607017
1,1,80+,50-69,0.5156986534363933,0.2852525510758244,0.8053071927324783
1,1,80+,70-79,0.3256705587278405,0.11200453418595231,0.5970139872926163
1,1,80+,80+,0.27519654064562676,0,0.6363636598249496
1,2,0-4,0-4,0.41556967608388756,0.2734899650977152,0.5926084824969321
1,2,0-4,5-11,0.18729205023745543,0.11475000496212681,0.26498845055206144
1,2,0-4,12-17,0.09187909845325508,0.05259165770485633,0.14211206913303984
1,2,0-4,18-25,0.15820219318789266,0.07274905578985943,0.280493566229978
1,2,0-4,26-34,0.18745207228983593,0.10285589208440263,0.2994398450173225
1,2,0-4,35-49,0.2267619588894286,0.13592974386923676,0.34560067347917584
1,2,0-4,50-69,0.18683873255602146,0.09730498757442053,0.30525056361110386
1,2,0-4,70-79,0.040556248437066185,0.007976855172083816,0.09215049813075199
1,2,0-4,80+,0.04568432675858406,0,0.14231939026739107
1,2,5-11,0-4,0.12546260227064612,0.07240629777761236,0.1948974766582288
1,2,5-11,5-11,1.0785469256125009,0.8782206320458975,1.2961788032920674
1,2,5-11,12-17,0.16044742421716154,0.1057105144306711,0.21854894027547273
1,2,5-11,18-25,0.205685311402018,0.1144751802118336,0.3329284980647793
1,2,5-11,26-34,0.17716275664301434,0.11733819581585452,0.24672250269661103
1,2,5-11,35-49,0.18529205381782485,0.13073141104736027,0.2556293525584315
1,2,5-11,50-69,0.10622816916894817,0.06538386659094154,0.15398553078034477
1,2,5-11,70-79,0.03675449272704527,0.015253069135379679,0.06340588423518359
1,2,5-11,80+,0.006727274937514234,0,0.020003191715549134
1,2,12-17,0-4,0.048047136724311365,0.02509402056322682,0.0741746069908747
1,2,12-17,5-11,0.19265304761950056,0.1353608489422465,0.26285496846738327
1,2,12-17,12-17,0.9211595065956996,0.6776847701426503,1.2018393272355619
1,2,12-17,18-25,0.1432752498769982,0.07687625573408213,0.23316603752030293
1,2,12-17,26-34,0.12736486255009655,0.08292134615892695,0.18504428021679384
1,2,12-17,35-49,0.22334145283769896,0.14825160302865628,0.3225776925905228
1,2,12-17,50-69,0.10716692683754628,0.06515516529680089,0.17089883202252182
1,2,12-17,70-79,0.03424784920238014,0.011668072381446551,0.07077822155959958
1,2,12-17,80+,0.013728790998308213,0.001975897078198866,0.033571224526466534
1,2,18-25,0-4,0.06302679018156926,0.031444209884881384,0.10200226614536746
1,2,18-25,5-11,0.104253373327146,0.06577573799423386,0.15419663835725314
1,2,18-25,12-17,0.10846943510850439,0.06586582244644525,0.1614080770857278
1,2,18-25,18-25,0.4389768250569773,0.31273123892186105,0.5837099634380857
1,2,18-25,26-34,0.2902686418377144,0.2171946020227422,0.3715567796066201
1,2,18-25,35-49,0.2512064321259426,0.18561918477177342,0.3241110678012949
1,2,18-25,50-69,0.20003443778972596,0.13438970714209986,0.28053166585155903
1,2,18-25,70-79,0.05270635582134888,0.0186897337573163,0.10359768747788324
1,2,18-25,80+,0.025225786141836976,0.005023875597929025,0.054062350495467905
1,2,26-34,0-4,0.09647401082486376,0.054726790148644566,0.14758817027925955
1,2,26-34,5-11,0.10472009331075287,0.07058492362337244,0.14194523572447043
1,2,26-34,12-17,0.0636967926707947,0.038784018042754435,0.09433862094924939
1,2,26-34,18-25,0.23545396794097692,0.16168734878773725,0.3197302944964564
1,2,26-34,26-34,0.4031341806664636,0.32378405680474354,0.49086946965347833
1,2,26-34,35-49,0.29491076908823266,0.2346896818884432,0.3634752069119413
1,2,26-34,50-69,0.23166708046969198,0.17632375292496916,0.2988542431471163
1,2,26-34,70-79,0.03451105825140434,0.016320575853915532,0.05805776104684867
1,2,26-34,80+,0.010100468516852012,0.001567398119122255,0.026055157963786962
1,2,35-49,0-4,0.05585967070291273,0.03174123896857326,0.08489426569595418
1,2,35-49,5-11,0.08840110702771788,0.06156984483744573,0.12078620711485029
1,2,35-49,12-17,0.08344109567271575,0.052836088155896896,0.12285224724759289
1,2,35-49,18-25,0.15738834006021413,0.10692633146162192,0.21684955751622345
1,2,35-49,26-34,0.22580244327260982,0.18173033505048677,0.2788328361719143
1,2,35-49,35-49,0.3293996831785329,0.26888683531430796,0.39631309969986045
1,2,35-49,50-69,0.26727539229942027,0.21219620762352132,0.33404319939636085
1,2,35-49,70-79,0.0432708513951541,0.022017192105687228,0.07230475676927356
1,2,35-49,80+,0.013880127238969614,0.0032670934753211626,0.03062549257578154
1,2,50-69,0-4,0.051885677998529584,0.026995890005313133,0.08604900622857149
1,2,50-69,5-11,0.04281346655816163,0.024797783667732696,0.06510177929559635
1,2,50-69,12-17,0.04086045602414268,0.02244615494869395,0.06604432636611811
1,2,50-69,18-25,0.1010450130993041,0.058765903515937384,0.1606994379367685
1,2,50-69,26-34,0.17057948661021996,0.12241820643741019,0.22429484576042294
1,2,50-69,35-49,0.23778774966358554,0.18486407739807323,0.29695159213291006
1,2,50-69,50-69,0.2873671281952249,0.22753427474397456,0.3554551217878925
1,2,50-69,70-79,0.048101441311123525,0.027376826651440138,0.0735895578734382
1,2,50-69,80+,0.0417676401346048,0.01623206193174519,0.08154668225532485
1,2,70-79,0-4,0.04033538096135215,0.009168168416855613,0.08830420699332812
1,2,70-79,5-11,0.05904872249028561,0.02294313630347713,0.10948580451399569
1,2,70-79,12-17,0.04282777732161397,0.01224631265051848,0.08746543059643117
1,2,70-79,18-25,0.0928690087442366,0.026589262195457125,0.18739020074191964
1,2,70-79,26-34,0.07161410145696609,0.029268694727309173,0.13113882646730562
1,2,70-79,35-49,0.10051666236672566,0.04663911691592872,0.1677765778302891
1,2,70-79,50-69,0.15982490565884175,0.09400767615051156,0.24549635407816428
1,2,70-79,70-79,0.1479857645459607,0.07406812498946401,0.24753804402480042
1,2,70-79,80+,0.09621382147938429,0.022533031537716176,0.19612183860619276
1,2,80+,0-4,0.03767996512783982,0,0.13232811579851403
1,2,80+,5-11,0.029234642014626486,0,0.08660819747584786
1,2,80+,12-17,0.04007157452177612,0.005386649096243574,0.11164008525571677
1,2,80+,18-25,0.07231791850833742,0.008379964757922386,0.1877434314866389
1,2,80+,26-34,0.045752677697470226,0.0072719925587281815,0.1225544144257606
1,2,80+,35-49,0.07838971139094078,0.014053304805342198,0.1977073573885499
1,2,80+,50-69,0.20511993263541484,0.0778673963707015,0.4243919559297778
1,2,80+,70-79,0.13921503379787908,0.0254749920874733,0.33193107495800267
1,2,80+,80+,0.16018029191702224,0,0.3562455402040166
