Participant_IMD,Contact_IMD,Participant_age_group,Contact_age_group,mean,lower,upper
1,1,20-24,10-14,0.13459082626839447,0.09131347382335846,0.18731432453949265
1,1,20-24,15-19,0.3798714066339829,0.26729453564114597,0.5174482137636208
1,1,20-24,20-24,0.914222769079321,0.6189566480612801,1.2960261956618482
1,1,20-24,25-29,0.5294543090233891,0.40667813514328854,0.6840793811054908
1,1,20-24,30-34,0.3060631790348209,0.21938465475050964,0.3968147939161874
1,1,20-24,35-39,0.2382494803793524,0.16928292884058416,0.3231762321831802
1,1,20-24,40-44,0.19367755626067829,0.13529471270441204,0.2602153229903704
1,1,20-24,45-49,0.23004380292657692,0.15094564198347818,0.3261615482099629
1,1,20-24,5-9,0.18302548414216696,0.12256877147680986,0.24556261897322607
1,1,20-24,50-54,0.17604891612565704,0.12608705005916823,0.23257031969930023
1,1,20-24,55-59,0.0915753411887248,0.05239133723629251,0.1390960370276178
1,1,20-24,60-64,0.1254690060828202,0.07486576711587101,0.19279737917689777
1,1,20-24,65-69,0.10460988095782851,0.028909353182990843,0.21913768769618838
1,1,20-24,70-74,0.0639243812948625,0.01646466718382996,0.1314918208083826
1,1,20-24,75+,0.02851892157565995,0.00413055163619242,0.06659845779335846
1,1,25-29,0-4,0.39443206501357875,0.2942677641066521,0.5127093194538718
1,1,25-29,10-14,0.18420529507636732,0.13642636333523617,0.2381156993641413
1,1,25-29,15-19,0.19485715928710873,0.13491983698258,0.26080737611974764
1,1,25-29,20-24,0.4905310647016037,0.3767808765040903,0.6337887546388198
1,1,25-29,25-29,0.7355927651837955,0.5730061732604079,0.9226058639553221
1,1,25-29,30-34,0.41647017464845565,0.3345474761799205,0.5050566832056718
1,1,25-29,35-39,0.23710877317304688,0.1739435669029172,0.314905423455872
1,1,25-29,40-44,0.16506220540696312,0.11732182753507907,0.22027158550706558
1,1,25-29,45-49,0.18405118260811187,0.13316682614854944,0.2437621046527263
1,1,25-29,5-9,0.3030494679993286,0.23781528832655485,0.3759076701843612
1,1,25-29,50-54,0.1859590442124824,0.13196330284375438,0.24078293063649617
1,1,25-29,55-59,0.11433172108502741,0.07351733817634368,0.16135357599272732
1,1,25-29,60-64,0.12185206529586043,0.07537036481296701,0.18256563636030873
1,1,25-29,65-69,0.10248473361793607,0.05009643241059756,0.17705118791560887
1,1,25-29,70-74,0.032322406055744386,0.009673950934735762,0.06414551041679073
1,1,25-29,75+,0.04200516825687657,0.012336441967856378,0.07947262546042866
1,1,30-34,0-4,0.29993968112212854,0.23081076841176518,0.38009301136379425
1,1,30-34,10-14,0.25808147293211603,0.2050132899369366,0.315755767013347
1,1,30-34,15-19,0.1486218039735368,0.1030584646826069,0.19750887539747022
1,1,30-34,20-24,0.274758708384547,0.1969457566530144,0.3562281506325453
1,1,30-34,25-29,0.40353969142896884,0.32416051262240375,0.48937578367284645
1,1,30-34,30-34,0.6609457922214764,0.5144318204563579,0.8162784226306278
1,1,30-34,35-39,0.41640757768631503,0.33411593208388113,0.4979785648646168
1,1,30-34,40-44,0.22410437783403533,0.16567903413871277,0.29063452936076256
1,1,30-34,45-49,0.14815976535815265,0.10414697058692515,0.19451784977759656
1,1,30-34,5-9,0.31035001281736324,0.2449725455866233,0.3925249081489493
1,1,30-34,50-54,0.17748451591271816,0.1299547880288719,0.23227180709319792
1,1,30-34,55-59,0.15909131381345967,0.10973224938372546,0.2094624947978971
1,1,30-34,60-64,0.1259220641762923,0.08156872612034236,0.17897711399919636
1,1,30-34,65-69,0.06003423698339935,0.030497950510537695,0.09738404729298354
1,1,30-34,70-74,0.05507610279834785,0.022300676396587362,0.0978680261675564
1,1,30-34,75+,0.09904986263033726,0.04607414450803669,0.1671834416176931
1,1,35-39,0-4,0.31757702309754354,0.2331785948244673,0.4153185329446081
1,1,35-39,10-14,0.3023557275838717,0.24362339390828755,0.36927222405341054
1,1,35-39,15-19,0.23165253307265452,0.17822356761765076,0.29302971958285506
1,1,35-39,20-24,0.21968458237651797,0.15609204883302846,0.2979936639867333
1,1,35-39,25-29,0.23598109473533083,0.17311629928581942,0.3134077477216558
1,1,35-39,30-34,0.42770650906483365,0.34318193662217855,0.5114908685158657
1,1,35-39,35-39,0.48781721121899063,0.37232613979229245,0.630582215079504
1,1,35-39,40-44,0.32990262476675114,0.25174641919236806,0.42284302409475366
1,1,35-39,45-49,0.2011801317583208,0.14685004864438167,0.2655243204960421
1,1,35-39,5-9,0.3639057209294695,0.2932471649633493,0.44722152542574983
1,1,35-39,50-54,0.15482055958176735,0.10813678949018696,0.21166581633529838
1,1,35-39,55-59,0.12073046890504109,0.07988282542269771,0.17022810949933923
1,1,35-39,60-64,0.15905662890785469,0.11021690148317191,0.2202071955816034
1,1,35-39,65-69,0.11565778865720255,0.06193549440852068,0.1876303451779005
